Symbol	Definition	Category
R1vplus	R maximal autocorrelation of lag 1 / weighted by atomic van der Waals volumes	Getaway
R2vplus	R maximal autocorrelation of lag 2 / weighted by atomic van der Waals volumes	Getaway
R3vplus	R maximal autocorrelation of lag 3 / weighted by atomic van der Waals volumes	Getaway
R4vplus	R maximal autocorrelation of lag 4 / weighted by atomic van der Waals volumes	Getaway
R5vplus	R maximal autocorrelation of lag 5 / weighted by atomic van der Waals volumes	Getaway
R6vplus	R maximal autocorrelation of lag 6 / weighted by atomic van der Waals volumes	Getaway
R7vplus	R maximal autocorrelation of lag 7 / weighted by atomic van der Waals volumes	Getaway
R8vplus	R maximal autocorrelation of lag 8 / weighted by atomic van der Waals volumes	Getaway
RTvplus	R maximal index / weighted by atomic van der Waals volumes	Getaway
R1e	R autocorrelation of lag 1 / weighted by atomic Sanderson electronegativities	Getaway
R2e	R autocorrelation of lag 2 / weighted by atomic Sanderson electronegativities	Getaway
R3e	R autocorrelation of lag 3 / weighted by atomic Sanderson electronegativities	Getaway
R4e	R autocorrelation of lag 4 / weighted by atomic Sanderson electronegativities	Getaway
R5e	R autocorrelation of lag 5 / weighted by atomic Sanderson electronegativities	Getaway
R6e	R autocorrelation of lag 6 / weighted by atomic Sanderson electronegativities	Getaway
R7e	R autocorrelation of lag 7 / weighted by atomic Sanderson electronegativities	Getaway
R8e	R autocorrelation of lag 8 / weighted by atomic Sanderson electronegativities	Getaway
RTe	R total index / weighted by atomic Sanderson electronegativities	Getaway
R1eplus	R maximal autocorrelation of lag 1 / weighted by atomic Sanderson electronegativities	Getaway
R2eplus	R maximal autocorrelation of lag 2 / weighted by atomic Sanderson electronegativities	Getaway
R3eplus	R maximal autocorrelation of lag 3 / weighted by atomic Sanderson electronegativities	Getaway
R4eplus	R maximal autocorrelation of lag 4 / weighted by atomic Sanderson electronegativities	Getaway
R5eplus	R maximal autocorrelation of lag 5 / weighted by atomic Sanderson electronegativities	Getaway
R6eplus	R maximal autocorrelation of lag 6 / weighted by atomic Sanderson electronegativities	Getaway
R7eplus	R maximal autocorrelation of lag 7 / weighted by atomic Sanderson electronegativities	Getaway
R8eplus	R maximal autocorrelation of lag 8 / weighted by atomic Sanderson electronegativities	Getaway
RTeplus	R maximal index / weighted by atomic Sanderson electronegativities	Getaway
R1p	R autocorrelation of lag 1 / weighted by atomic polarizabilities	Getaway
R2p	R autocorrelation of lag 2 / weighted by atomic polarizabilities	Getaway
R3p	R autocorrelation of lag 3 / weighted by atomic polarizabilities	Getaway
R4p	R autocorrelation of lag 4 / weighted by atomic polarizabilities	Getaway
R5p	R autocorrelation of lag 5 / weighted by atomic polarizabilities	Getaway
R6p	R autocorrelation of lag 6 / weighted by atomic polarizabilities	Getaway
R7p	R autocorrelation of lag 7 / weighted by atomic polarizabilities	Getaway
R8p	R autocorrelation of lag 8 / weighted by atomic polarizabilities	Getaway
RTp	R total index / weighted by atomic polarizabilities	Getaway
R1pplus	R maximal autocorrelation of lag 1 / weighted by atomic polarizabilities	Getaway
R2pplus	R maximal autocorrelation of lag 2 / weighted by atomic polarizabilities	Getaway
R3pplus	R maximal autocorrelation of lag 3 / weighted by atomic polarizabilities	Getaway
R4pplus	R maximal autocorrelation of lag 4 / weighted by atomic polarizabilities	Getaway
R5pplus	R maximal autocorrelation of lag 5 / weighted by atomic polarizabilities	Getaway
R6pplus	R maximal autocorrelation of lag 6 / weighted by atomic polarizabilities	Getaway
R7pplus	R maximal autocorrelation of lag 7 / weighted by atomic polarizabilities	Getaway
R8pplus	R maximal autocorrelation of lag 8 / weighted by atomic polarizabilities	Getaway
RTpplus	R maximal index / weighted by atomic polarizabilities	Getaway
